Time ,epoch,stage,train loss,accuracy
39:35.2,1,0.3616,0.180934608,92.5
39:36.5,1,0.3632,0.48023361,85
39:37.8,1,0.3648,0.45462051,85
39:39.2,1,0.3664,0.386750013,92.5
39:40.5,1,0.368,0.338151783,90
39:41.8,1,0.3696,0.284720242,85
39:43.1,1,0.3712,0.197632581,92.5
39:44.4,1,0.3728,0.393142313,87.5
39:45.7,1,0.3744,0.464338303,80
39:47.0,1,0.376,0.373452246,85
39:48.3,1,0.3776,0.362251341,92.5
39:49.6,1,0.3792,0.215008706,92.5
39:50.9,1,0.3808,0.584807694,80
39:52.2,1,0.3824,0.537958801,82.5
39:53.5,1,0.384,0.39208892,82.5
39:54.8,1,0.3856,0.530831456,80
39:56.1,1,0.3872,0.622271299,85
39:57.4,1,0.3888,0.228740841,95
39:58.7,1,0.3904,0.555242658,85
40:00.0,1,0.392,0.361503989,85
40:01.3,1,0.3936,0.316528499,87.5
40:02.6,1,0.3952,0.310594261,90
40:03.9,1,0.3968,0.08992774,100
40:05.2,1,0.3984,0.290161073,92.5
40:06.5,1,0.4,0.301263869,92.5
40:07.8,1,0.4016,0.53467536,85
40:09.1,1,0.4032,0.409221709,85
40:10.4,1,0.4048,0.301633745,90
40:11.7,1,0.4064,0.431544065,85
40:13.0,1,0.408,0.487844855,80
40:14.3,1,0.4096,0.563210607,80
40:15.6,1,0.4112,0.315986872,92.5
40:16.9,1,0.4128,0.364715874,85
40:18.2,1,0.4144,0.466932625,77.5
40:19.5,1,0.416,0.527100205,82.5
40:20.8,1,0.4176,0.467060566,85
40:22.1,1,0.4192,0.421392053,82.5
40:23.4,1,0.4208,0.349662721,85
40:24.7,1,0.4224,0.48526606,87.5
40:26.0,1,0.424,0.614147902,82.5
40:27.3,1,0.4256,0.60590899,80
40:28.6,1,0.4272,0.307687819,90
40:29.9,1,0.4288,0.295601159,92.5
40:31.2,1,0.4304,0.550868094,77.5
40:32.5,1,0.432,0.343492568,87.5
40:33.9,1,0.4336,0.366803288,82.5
40:35.1,1,0.4352,0.343519866,90
40:36.4,1,0.4368,0.420144707,80
40:37.7,1,0.4384,0.325871527,87.5
40:39.0,1,0.44,0.512378752,85
40:40.3,1,0.4416,0.436707348,85
40:41.7,1,0.4432,0.470961869,85
40:43.0,1,0.4448,0.382801116,82.5
40:44.3,1,0.4464,0.14406693,97.5
40:45.6,1,0.448,0.235373169,97.5
40:46.9,1,0.4496,0.229450345,95
40:48.2,1,0.4512,0.278119743,97.5
40:49.5,1,0.4528,0.495600522,80
40:50.8,1,0.4544,0.251703918,92.5
40:52.1,1,0.456,0.559436858,75
40:53.4,1,0.4576,0.374075443,87.5
40:54.7,1,0.4592,0.198777691,92.5
40:56.0,1,0.4608,0.53392458,82.5
40:57.3,1,0.4624,0.373368144,85
40:58.6,1,0.464,0.315217048,82.5
40:59.9,1,0.4656,0.448247522,80
41:01.2,1,0.4672,0.273070633,92.5
41:02.5,1,0.4688,0.411893278,85
41:03.8,1,0.4704,0.349908113,87.5
41:05.1,1,0.472,0.269305855,90
41:06.4,1,0.4736,0.648742557,77.5
41:07.8,1,0.4752,0.603700757,82.5
41:09.1,1,0.4768,0.332194924,85
41:10.4,1,0.4784,0.608812928,75
41:11.7,1,0.48,0.650039792,75
41:13.0,1,0.4816,0.431541502,92.5
41:14.3,1,0.4832,0.396757245,82.5
41:15.6,1,0.4848,0.388230979,90
41:16.9,1,0.4864,0.358911395,85
41:18.2,1,0.488,0.500930905,85
41:19.5,1,0.4896,0.256748855,90
41:20.8,1,0.4912,0.290120304,90
41:22.1,1,0.4928,0.334721148,85
41:23.4,1,0.4944,0.535146356,82.5
41:24.7,1,0.496,0.354642421,87.5
41:26.0,1,0.4976,0.427310795,82.5
41:27.3,1,0.4992,0.217755005,90
41:28.6,1,0.5008,0.25782311,90
41:29.9,1,0.5024,0.421355009,87.5
41:31.2,1,0.504,0.278161287,90
41:32.5,1,0.5056,0.710660815,72.5
41:33.8,1,0.5072,0.483352482,87.5
41:35.1,1,0.5088,0.28535229,87.5
41:36.4,1,0.5104,0.427657127,85
41:37.7,1,0.512,0.283470571,90
41:39.1,1,0.5136,0.328765064,90
41:40.4,1,0.5152,0.199100465,95
41:41.7,1,0.5168,0.15353319,97.5
41:43.0,1,0.5184,0.429827452,85
41:44.3,1,0.52,0.245416313,92.5
41:45.6,1,0.5216,0.409555614,87.5
41:46.9,1,0.5232,0.256342411,92.5
41:48.2,1,0.5248,0.209043652,92.5
41:49.5,1,0.5264,0.2271678,95
41:50.8,1,0.528,0.363034964,85
41:52.1,1,0.5296,0.424682856,82.5
41:53.4,1,0.5312,0.358991325,87.5
41:54.7,1,0.5328,0.169696808,95
41:56.0,1,0.5344,0.569638908,82.5
41:57.3,1,0.536,0.439255536,80
41:58.6,1,0.5376,0.554441571,85
41:59.9,1,0.5392,0.605734766,75
42:01.2,1,0.5408,0.288932294,92.5
42:02.5,1,0.5424,0.251626045,92.5
42:03.8,1,0.544,0.295458794,90
42:05.1,1,0.5456,0.242067963,92.5
42:06.4,1,0.5472,0.500174642,82.5
42:07.7,1,0.5488,0.692797363,72.5
42:09.0,1,0.5504,0.186538458,97.5
42:10.3,1,0.552,0.205800101,95
42:11.6,1,0.5536,0.401045501,82.5
42:12.9,1,0.5552,0.203388184,92.5
42:14.2,1,0.5568,0.39177236,87.5
42:15.6,1,0.5584,0.281884223,87.5
42:16.9,1,0.56,0.352849245,92.5
42:18.2,1,0.5616,0.279152334,85
42:19.5,1,0.5632,0.615101278,87.5
42:20.8,1,0.5648,0.17728211,95
42:22.1,1,0.5664,0.275570482,90
42:23.4,1,0.568,0.265975147,95
42:24.7,1,0.5696,0.278817624,90
42:26.0,1,0.5712,0.277216434,92.5
42:27.3,1,0.5728,0.514568746,85
42:28.6,1,0.5744,0.416314691,85
42:29.9,1,0.576,0.125766292,97.5
42:31.2,1,0.5776,0.646735013,82.5
42:32.5,1,0.5792,0.274942368,92.5
42:33.8,1,0.5808,0.866590321,75
42:35.1,1,0.5824,0.130844459,95
42:36.4,1,0.584,0.60628134,90
42:37.7,1,0.5856,0.602342963,80
42:39.0,1,0.5872,0.342512667,82.5
42:40.3,1,0.5888,0.393115252,87.5
42:41.6,1,0.5904,0.452581465,85
42:42.9,1,0.592,0.377549469,85
42:44.2,1,0.5936,0.462831974,82.5
42:45.5,1,0.5952,0.277470082,90
42:46.8,1,0.5968,0.246153191,87.5
42:48.1,1,0.5984,0.342272639,87.5
42:49.4,1,0.6,0.31979388,90
42:50.7,1,0.6016,0.395394564,90
42:52.1,1,0.6032,0.227780938,95
42:53.4,1,0.6048,0.414142191,90
42:54.7,1,0.6064,0.47470659,77.5
42:56.0,1,0.608,0.196987644,97.5
42:57.3,1,0.6096,0.299360126,90
42:58.6,1,0.6112,0.463567883,82.5
42:59.9,1,0.6128,0.501497984,85
43:01.2,1,0.6144,0.312561691,90
43:02.5,1,0.616,0.278895199,90
43:03.8,1,0.6176,0.261004001,92.5
43:05.1,1,0.6192,0.263724923,95
43:06.4,1,0.6208,0.229994208,95
43:07.7,1,0.6224,0.191457167,92.5
43:09.0,1,0.624,0.1761702,90
43:10.3,1,0.6256,0.522716045,87.5
43:11.6,1,0.6272,0.412279516,85
43:12.9,1,0.6288,0.259575188,90
43:14.2,1,0.6304,0.830247879,82.5
43:15.5,1,0.632,0.201861173,90
43:16.8,1,0.6336,0.123653874,95
43:18.1,1,0.6352,0.192758963,92.5
43:19.4,1,0.6368,0.084158726,97.5
43:20.7,1,0.6384,0.195740342,95
43:22.0,1,0.64,0.179355115,90
43:23.3,1,0.6416,0.097408473,97.5
43:24.6,1,0.6432,0.157674462,97.5
43:25.9,1,0.6448,0.131094068,97.5
43:27.2,1,0.6464,0.1570687,95
43:28.5,1,0.648,0.190468341,92.5
43:29.8,1,0.6496,0.414843023,90
43:31.1,1,0.6512,0.339653045,90
43:32.4,1,0.6528,0.312714458,92.5
43:33.7,1,0.6544,0.262134761,92.5
43:35.0,1,0.656,0.743289769,75
43:36.3,1,0.6576,0.207402065,92.5
43:37.6,1,0.6592,0.435015202,82.5
43:38.9,1,0.6608,0.471617609,90
43:40.2,1,0.6624,0.243454218,92.5
43:41.5,1,0.664,0.247999281,90
43:42.9,1,0.6656,0.215384275,92.5
43:44.2,1,0.6672,0.658162892,82.5
43:45.5,1,0.6688,0.239101097,90
43:46.8,1,0.6704,0.298351884,82.5
43:48.1,1,0.672,0.515825689,85
43:49.4,1,0.6736,0.253192812,90
43:50.7,1,0.6752,0.84692049,75
43:52.0,1,0.6768,0.337345541,82.5
43:53.3,1,0.6784,0.282979399,92.5
43:54.6,1,0.68,0.377575487,95
43:55.9,1,0.6816,0.211227328,90
43:57.2,1,0.6832,0.14165388,95
43:58.5,1,0.6848,0.444697857,87.5
43:59.8,1,0.6864,0.313061446,85
44:01.1,1,0.688,0.454512775,87.5
44:02.4,1,0.6896,0.638466418,82.5
44:03.7,1,0.6912,0.363128483,87.5
44:05.0,1,0.6928,0.221938685,92.5
44:06.3,1,0.6944,0.123944178,97.5
44:07.6,1,0.696,0.188537791,95
44:08.9,1,0.6976,0.363743126,90
44:10.2,1,0.6992,0.413550615,87.5
44:11.5,1,0.7008,0.218725398,92.5
44:12.8,1,0.7024,0.507477999,82.5
44:14.1,1,0.704,0.345110118,92.5
44:15.4,1,0.7056,0.232927829,85
44:16.7,1,0.7072,0.364711106,92.5
44:18.0,1,0.7088,0.222306103,95
44:19.4,1,0.7104,0.413886786,82.5
44:20.7,1,0.712,0.310465395,90
44:22.0,1,0.7136,0.271724015,90
44:23.3,1,0.7152,0.176239103,95
44:24.6,1,0.7168,0.189317688,90
44:25.9,1,0.7184,0.401533544,85
44:27.2,1,0.72,0.182636783,90
44:28.5,1,0.7216,0.310413092,87.5
44:29.8,1,0.7232,0.424583524,82.5
44:31.1,1,0.7248,0.475630581,82.5
44:32.4,1,0.7264,0.238267109,92.5
44:33.7,1,0.728,0.228232473,90
44:35.0,1,0.7296,0.225111768,90
44:36.3,1,0.7312,0.092050083,97.5
44:37.6,1,0.7328,0.190887362,97.5
44:38.9,1,0.7344,0.220483035,85
44:40.2,1,0.736,0.474505752,82.5
44:41.5,1,0.7376,0.352955014,95
44:42.8,1,0.7392,0.41707778,87.5
44:44.1,1,0.7408,0.504175782,85
44:45.4,1,0.7424,0.267404377,90
44:46.8,1,0.744,0.547505975,77.5
44:48.1,1,0.7456,0.502980471,80
44:49.4,1,0.7472,0.284503549,90
44:50.7,1,0.7488,0.21820648,92.5
44:52.0,1,0.7504,0.384343565,85
44:53.3,1,0.752,0.361191481,82.5
44:54.6,1,0.7536,0.260461032,92.5
44:55.9,1,0.7552,0.463979006,82.5
44:57.2,1,0.7568,0.253305614,90
44:58.5,1,0.7584,0.483840883,82.5
